,H3-H4-1 angle,DNA H3-H4-1 angle,DNA H3-H4-1 torsion
347000.0,140.90274318144145,117.45182209885756,-35.307330717136004
348000.0,141.97699196805306,119.72404506401627,-19.169832360278598
349000.0,138.24262092724572,119.98440495969133,-19.339244628534114
350000.0,140.2293749332159,118.02576176581006,-32.13118321853584
351000.0,140.57343810091544,118.08766491987082,-16.457278603253698
352000.0,141.24153596932643,119.46607394816044,-13.846957892173835
353000.0,139.52731921260366,119.38520769498126,-10.252140082848546
354000.0,141.9671925309578,120.40826266351476,-43.938187124837576
355000.0,140.06240191969562,119.79917922651444,-9.686850016347687
356000.0,140.65541272014536,120.34055554983127,-26.447118190979722
357000.0,140.70662920484855,120.07000436492932,-27.509201764925358
358000.0,139.61419189754665,116.91090428299252,-24.702492844618824
359000.0,141.18429698996562,121.80256263932837,-23.04826453986037
360000.0,140.32933085963217,122.32309140622426,-11.781721401129822
361000.0,139.64845158252817,118.59647634385614,-12.823042825227601
362000.0,141.2677518730657,120.51564580397564,-25.197383263592652
363000.0,142.2900649433554,118.34689641786854,-21.892232724573113
364000.0,143.42781467606957,123.04929054833379,-2.4444561544067627
365000.0,142.19942122728145,120.25907219954507,-23.508101124078074
366000.0,140.330769436284,121.45937735008188,-7.068564838007901
367000.0,139.33462759244338,123.31489418740918,-15.452079376800166
368000.0,139.83933955801166,121.87644770454185,-23.636955299298766
369000.0,140.68918120866428,119.60086099311792,-17.28643671134826
370000.0,138.99663224051562,121.25614115188276,-21.879647996448124
371000.0,140.24015796130695,119.92345927277555,-14.529088711539547
372000.0,141.488727185098,121.15066570967221,-21.028576400352154
373000.0,141.68033122155913,120.93905221656776,-12.90282564761231
374000.0,141.41166471131402,117.87334910453094,-7.099386751720531
375000.0,140.0226222037215,120.6185425507198,-5.184028868911036
376000.0,139.18410744837158,121.27865533148544,-9.728320279600764
377000.0,142.10922207591048,121.09862632750834,-4.956936867430977
378000.0,139.71172142136237,119.45771775032662,-13.253664941682997
379000.0,140.20498203857034,121.17575700204185,-8.22918957562375
380000.0,140.40591081698318,117.39804378993271,-9.213228584182444
381000.0,139.6171853102141,117.31246429697595,-14.191028470359187
382000.0,141.88003520406443,120.60356600184186,-21.255989804026452
383000.0,142.46462321149153,119.06954278926891,-18.51321174238695
